Column1,asin,ISBN10,title,author,genre,subgenre,currency,final_price,initial_price,domain,format_1_type,format_1_price,format_2_type,format_2_price,format_3_type,format_3_price,rating,reviews_count,overall_best_seller_rank,seller_id,seller_name,timestamp
1,1501100106,9781501100109,10 Day Green Smoothie Cleanse,JJ Smith,"Health, Fitness & Dieting",Diets & Weight Loss,USD,9.91,16.99,www.amazon.com,Kindle ,12.99,Audiobook ,0,Spiral-bound ,18.99,4.7,30000,4379,ATVPDKIKX0DER,VMG Books & Media,12/21/2021
2,1079520015,1079520015,100 Amazing Patterns,Jade Summer,Arts & Photography,Graphic Design,USD,9.99,NA,www.amazon.com,Hardcover ,19.99,,NA,,NA,4.6,13337,1083,ATVPDKIKX0DER,Amazon Warehouse,12/21/2021
3,1661264107,1661264107,100 Flowers,Jade Summer,Arts & Photography,Graphic Design,USD,9.99,NA,www.amazon.com,Hardcover ,19.99,,NA,,NA,4.7,12747,1108,ATVPDKIKX0DER,Amazon Warehouse,12/21/2021
4,1973749122,1973749122,101 So Bad They Re Good Dad Jokes,Elias Hill,Humor & Entertainment,Humor,USD,5.99,6.99,www.amazon.com,Kindle ,1.99,Audiobook ,0,,NA,4.4,11288,293,ATVPDKIKX0DER,Jenson Books Inc.,12/21/2021
5,0345816021,0345816021,12 Rules For Life,Jordan B. Peterson,"Health, Fitness & Dieting",Psychology & Counseling,USD,14.99,25.95,www.amazon.com,Kindle ,13.99,Audiobook ,0,Paperback ,17.63,4.8,43801,110,ATVPDKIKX0DER,EastcoastProducts,12/21/2021
6,1631680021,1631680021,12 Years A Slave,Solomon Northup,Politics & Social Sciences,Social Sciences,USD,3.76,NA,www.amazon.com,Kindle ,0,Audiobook ,0,Hardcover ,12.47,4.6,15993,42144,ATVPDKIKX0DER,Amazon,12/21/2021
7,0451524934,9780451524935,1984,George Orwell,Literature & Fiction,Fiction,USD,7.48,9.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Hardcover ,10.99,4.7,55581,339,ATVPDKIKX0DER,Amazon,12/21/2021
8,B0892HRS76,,200 Must Know Sight Words Activity Workbook,Smart Kids Notebooks,Children's Books,Education & Reference,USD,5.99,6.99,www.amazon.com,,NA,,NA,,NA,4.7,10275,643,ATVPDKIKX0DER,Amazon,12/21/2021
9,031649934X,031649934X,21st Birthday,James PattersonMaxine Paetro,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,17.68,29,www.amazon.com,Kindle ,14.99,Audiobook ,0,Paperback ,17.99,4.6,19581,4534,ATVPDKIKX0DER,Franklin Friends of the Library,12/21/2021
10,1680524046,1680524046,365 Bedtime Stories And Rhymes,Cottage Door Press,Children's Books,Fiction,USD,13.49,14.99,www.amazon.com,,NA,,NA,,NA,4.8,10496,2198,ATVPDKIKX0DER,Media Relay LLC,12/21/2021
11,B00X0TKUS0,,48 Laws Of Power,"Robert Greene (Author), Richard Poe (Narrator), HighBridge, a Division of Recorded Books (Publisher) & 0 more",Politics & Social Sciences,Politics & Government,USD,9.99,NA,www.amazon.com,Kindle ,16.99,Hardcover ,104.5,Paperback ,14.2,4.7,33383,59,,Amazon,12/21/2021
12,1804220256,1804220256,48 Laws Of Power Robert And Joost Elffers Greene,Robert Greene,Politics & Social Sciences,Politics & Government,USD,18.79,NA,www.amazon.com,Kindle ,16.99,Audiobook ,0,Paperback ,14.7,4.7,33382,7370,ATVPDKIKX0DER,Amazon,12/21/2021
