asin,book_name,author,avg_bsr_2025
NA,The Invisible Coup: How American Elites and Foreign Powers Use Immigration as a Weapon,NA,1
NA,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,NA,2
NA,Theo of Golden: A Novel,NA,3
NA,The Correspondent: A Novel,NA,4
NA,The Housemaid,NA,5
NA,"Heated Rivalry: Now Streaming on Crave and HBO Max (Game Changers, 2)",NA,6
NA,Little Blue Truck's Valentine: A Heartwarming Farm Adventure Featuring a Large Gatefold―Perfect for Valentine's Day Fun,NA,7
NA,The Housemaid's Secret,NA,8
NA,Forgotten Home Apothecary : 250 Powerful Remedies at Your Fingertips,NA,9
NA,How to Catch a Loveosaurus: A Valentine's Day Adventure,NA,10
NA,I Love You to the Moon and Back,NA,11
NA,Dear Debbie,NA,12
NA,Murdle: Volume 1,NA,13
NA,"Happy Valentine's Day, Mouse!: A Lovely Valentine's Day Book for Kids (Ages 4-8) (If You Give...)",NA,14
NA,Woman Down: A Novel,NA,15
NA,For the Fans! (KPop Demon Hunters): Official Storybook (Little Golden Book),NA,16
NA,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,NA,17
NA,The Last Letter,NA,18
NA,A Navy SEAL's Bug-In Guide: How to Turn Your House into the Safest Place on Earth,NA,19
NA,People We Meet on Vacation,NA,20
NA,The Frozen River: A GMA Book Club Pick: A Novel,NA,21
NA,The Very Hungry Caterpillar's Peekaboo Valentine,NA,22
NA,Llama Llama I Love You,NA,23
NA,My Husband's Wife: A Novel,NA,24
NA,"Stress Relief: Coloring Book for Adults and Kids, Bold and Easy, Simple and Big Designs for Relaxation Featuring Animals, Lan",NA,25
NA,The Housemaid Is Watching,NA,26
NA,The Widow: A Novel,NA,27
NA,Half His Age: A Novel,NA,28
NA,Dr. Seuss's Who Loves You? (Dr. Seuss's Gift Books),NA,29
NA,"The Long Game: Now Streaming on Crave and HBO Max (Game Changers, 6)",NA,30
